,SegName,SegNum
368,Rockaway Pkwy to E94th,11034952
369,Rockaway Kings-Church,34219620
370,98th %,34180826
371,New Lots to Penn,32270537
372,Snediker 1,34017190
373,ENY Crit T-shape,35002835
376,Gateway Drive Lasso,21562146
377,Gull Heron Loop CW,30382853
378,You gotta confuse the bike to make it faster,30408576
379,Belt to CrossBay,21389705
381,JFK 148th St South,19363617
383,Hump Day Turnaround Sprint,31969083
385,Bay Street Flyer,22352381
386,Bay St (Red Hook Park),25477372
387,Red Hook Hairpin,27123161
388,Red Hook sprint w/ construction,18663465
389,Ballfield Shortcut Sprint,5607959
390,Bay Street Ride,19463300
391,3rd St Uphill,1390271
392,Park Slope 9th Street Climb,754171
393,punch 5th ave (before the🚦),25629247
394,7th St to 278 5th Ave Up Hill,1732852
395,Carroll st hill,9330953
396,th Street Climb,4374394
397,3rd ave sprint,5021449
398,Foot down on 3rd,4956639
399,up 9th street from 4th Ave to 7th Ave,27727233
400,14st climb,3748864
402,The Real PP Hill,5300227
403,PP race finish sprint at 3rd st,15096324
404,Amphitheater Hill (JayBee) ,12072104
405,"2.0: 50"" PP Hill Sprints to 2nd Green Sign",9264479
406,PP - KOM to 3rd St,18935073
407,Playground to Garage,28030847
408,PP to Sterling Pl (shortcut),24544706
409,Gabbledobie Gap: 2 Arbitrary Points in PP,7598221
410,Library Museum Sprint,16000842
414,Franklin to Kingston via St. Johns,5056494
415,Who Fast Up Hill?       R.W,13323123
416,Kingston/Empire to Eastern Parkway,5100187
417,s2,24973308
418,New York Ave Climb,1741035
419,Eastern Parkway to Bergen Downhill,24911818
420,jeff ride ent,6230794
421,Up Troy,5978728
422,jeff up hill ride go,6232311
423,Rochester Ave Climb,2548119
424,Rochester Ave Drop,2548151
425,Lincoln Terrace Uphill,5199601
426,Dean to St. Johns via Albany,5056571
427,"30pmh, make sure you have the light!",10966628
428,Catch That Light,10075775
429,Pitkin Push,14967969
430,Belmont Stakes,14967978
431,Atlactic to sutter sprint,3691840
432,Euclid Up,25516674
433,Pitkin to Dumont (Milford),32229432
434,Lots to Du,34997329
435,Drew St,33474352
436,the border of CD37 ,29876237
437,Jamaica Bay Loop ~ Belt & Crossbay,10178020
438,137th Ave,12864252
439,Laurelton 225th Sprint,1744826
441,Sacket Suicide,26577929
443,Clinton Street Climb (BQE to Union),2547591
444,Degraw to Verona Sprint,12049371
445,Delevan to Hicks,14788505
446,2013 RHC lap,3882937
447,red hook crit course,1133510
448,Dean Street Sprint,2405723
449,Boerum Pl Climb,1748094
450,Bergen St: 5th Ave to Bond St,2416353
451,Hoyt Street Project Blast Uphill,1015102
452,Dean - Hoyt to 5th ave,21190303
453,Dean - Nevins to 5th ave,16198624
454,Bergen st hill,8222097
455,Hoyt St Downhill to Union,4454391
456,Sacket Street Hill,8139351
457,Gowanus houses rocket,8720581
459,Last Vandy UpHIll Home FultonGreene,21177700
460,"Vanderbilt bomb, Lafayette to Atlantic",16157282
461,"Gates to Lafayette, hit the light",18715278
462,Lafayette Pratt Dash,4323069
463,one-block climb from Carlton to Vanderbilt,6449286
464,Lafayette Climb,5176835
466,Bergen Street Climb,6168781
467,Fulton to Lafayette,27581444
468,Franklin: Lafayette to Jefferson,15480377
469,Atlantic --> Greene Sprint ,8626764
470,halsey glide,8351965
471,Quincy: Franklin to Tompkins,4525508
472,jeff  elite sprint 123 go den stop ha ha,6230820
473,Lewis ave to Malc X,6245934
474,fulton ride,6230090
475,Quincy to Fulton via Garvey,17751491
476,atlantic boogie,12742742
477,Ralph Lewis Putnam,34704577
478,stuy mad dash,34083673
479,Putnam to Bainbridge,29922455
480,Mt. Saratoga ,25762336
481,Bomb down Boyland,28403787
482,Most Holy BiCemetery,33903618
483,Jeff Schaefer ,33681609
484,Howard Surfing,28667103
485,Boy oh Boyland ho,29980487
487,Highland Park Reservoir ,5739434
488,End of Bushwick Downhill,5203878
489,Miller Ave (2nd Half),12351048
490,Highland drop,5594933
491,Highland blvd sprints train,6015030
493,Down and Over ,4540032
494,miller ave to vermont pl.,6017215
495,Highland Park micro-loop CW,22850847
496,Crescendo,33474358
497,Crescendo,33474382
498,You Do What You Want,27630860
499,Rockaway to Lib on 101st,31877672
500,Atlantic Ave. Hump,25766347
501,Atlantic to Rockaway (Woodhaven),33496045
502,Baisley Pond Loop CCW From NE corner,33826026
